ID университета,Название университета,Экономика и управление,Социология и социальная работа,Юриспруденция,Политические науки и регионоведение
110170,"Автономная некоммерческая образовательная организация высшего образования ""Воронежский экономико-правовой институт""","123,6",N/A,N/A,N/A
1996,"Автономная некоммерческая образовательная организация высшего образования ""Международный институт компьютерных технологий""","1,0",N/A,N/A,N/A
2071,"Автономная некоммерческая образовательная организация высшего образования ""Региональный финансово-экономический институт""","57,8",N/A,N/A,N/A
1845,"Автономная некоммерческая образовательная организация высшего образования Центросоюза Российской Федерации ""Российский университет кооперации""","714,7",N/A,N/A,N/A
1847,"Автономная некоммерческая организация высшего образования ""Белгородский университет кооперации, экономики и права""","674,7",N/A,N/A,N/A
110188,"Автономная некоммерческая организация высшего образования ""Гуманитарный институт"" (г. Москва)","12,8",N/A,N/A,N/A
110232,"Автономная некоммерческая организация высшего образования ""Институт бизнеса и дизайна""","77,2",N/A,N/A,N/A
110216,"Автономная некоммерческая организация Высшего Образования ""Институт деловой карьеры""","374,5",N/A,N/A,N/A
110222,"Автономная некоммерческая организация высшего образования ""Институт информационных технологий экономики и менеджмента""","100,2",N/A,N/A,N/A
2053,"Автономная некоммерческая организация высшего образования ""Институт международных экономических связей""","578,6",N/A,N/A,N/A
110230,"Автономная некоммерческая организация высшего образования ""Институт менеджмента, экономики и инноваций""","73,4",N/A,N/A,N/A
1860,"Автономная некоммерческая организация высшего образования ""Институт непрерывного образования""","0,3",N/A,N/A,N/A
110243,"Автономная некоммерческая организация высшего образования ""Институт современного искусства""","42,7",N/A,N/A,N/A
110248,"Автономная некоммерческая организация высшего образования ""Институт социальных наук""","30,2",N/A,N/A,N/A
110271,"Автономная некоммерческая организация высшего образования ""Институт экономики и управления в промышленности""","4,5",N/A,N/A,N/A
1994,"Автономная некоммерческая организация высшего образования ""Институт экономики и управления""","12,3",N/A,N/A,N/A
1866,"Автономная некоммерческая организация высшего образования ""Московская международная высшая школа бизнеса ""МИРБИС"" (Институт)","56,8",N/A,N/A,N/A
110319,"Автономная некоммерческая организация высшего образования ""Московский гуманитарный университет""","308,3",N/A,N/A,N/A
110324,"Автономная некоммерческая организация высшего образования ""Московский институт современного академического образования""","40,8",N/A,N/A,N/A
2012,"Автономная некоммерческая организация высшего образования ""Московский информационно-технологический университет - Московский архитектурно-строительный институт"" ","27,8",N/A,N/A,N/A
2084,"Автономная некоммерческая организация высшего образования ""МОСКОВСКИЙ МЕЖДУНАРОДНЫЙ УНИВЕРСИТЕТ"" (АНОВО ""МОСКОВСКИЙ МЕЖДУНАРОДНЫЙ УНИВЕРСИТЕТ"")","1 886,5",N/A,N/A,N/A
1926,"Автономная некоммерческая организация высшего образования ""Московский региональный социально-экономический институт""","102,1",N/A,N/A,N/A
110341,"Автономная некоммерческая организация высшего образования ""Национальный институт бизнеса""","233,9",N/A,N/A,N/A
666666786,"Автономная некоммерческая организация высшего образования ""Открытый университет экономики, управления и права""","59,5",N/A,N/A,N/A
110899,"Автономная некоммерческая организация высшего образования ""Российская академия предпринимательства""","0,4",N/A,N/A,N/A
1840,"Автономная некоммерческая организация высшего образования ""Российский православный университет святого Иоанна Богослова""",N/A,"19,0",N/A,N/A
110393,"Автономная некоммерческая организация высшего образования ""Славяно-Греко-Латинская Академия""","14,4",N/A,N/A,N/A
1882,Автономная некоммерческая организация высшего образования «Институт стран Востока»,N/A,N/A,N/A,"154,0"
2017,Автономная некоммерческая организация высшего образования «МЕЖДУНАРОДНАЯ ПОЛИЦЕЙСКАЯ АКАДЕМИЯ ВПА»,"37,6",N/A,N/A,N/A
1846,Автономная некоммерческая организация высшего образования «Российский новый университет»,"772,5",N/A,N/A,N/A
110318,Автономная некоммерческая организация высшего образования Московский гуманитарно-экономический университет,"445,5",N/A,N/A,N/A
1867,"Автономная образовательная некоммерческая организация высшего образования ""Институт менеджмента, маркетинга и финансов""","22,8",N/A,N/A,N/A
1952,Аккредитованное образовательное частное учреждение высшего образования «Московский финансово-юридический университет МФЮА»,"2 147,6",N/A,N/A,N/A
1876,Воронежский институт высоких технологий - автономная некоммерческая образовательная организация высшего образования,"84,7",N/A,N/A,N/A
110313,"Государственное автономное образовательное учреждение высшего образования ""Московский городской университет управления Правительства Москвы имени Ю.М.Лужкова""","1 241,9",N/A,N/A,N/A
2183,"Государственное автономное образовательное учреждение высшего образования города Москвы ""Московский городской педагогический университет""","308,1",N/A,N/A,N/A
110145,"Государственное бюджетное образовательное учреждение высшего образования Московской области ""Академия социального управления"" ","234,4",N/A,N/A,N/A
110425,"Государственное бюджетное образовательное учреждение высшего образования Московской области ""Технологический университет имени дважды Героя Советского Союза, летчика-космонавта А.А. Леонова""","725,8",N/A,N/A,N/A
110302,"государственное бюджетное образовательное учреждение высшего образования Московской области ""Университет ""Дубна""","173,3",N/A,N/A,N/A
1569,"Государственное казенное образовательное учреждение высшего образования ""Российская таможенная академия""","2 152,0",N/A,N/A,N/A
110288,"Государственное образовательное автономное учреждение высшего образования Курской области ""Курская академия государственной и муниципальной службы""","523,2",N/A,N/A,N/A
110454,"Государственное образовательное учреждение высшего образования Московской области ""Государственный гуманитарно-технологический университет""","32,2",N/A,N/A,N/A
110316,"Государственное образовательное учреждение высшего образования Московской области ""Государственный социально-гуманитарный университет""","149,6",N/A,N/A,N/A
110317,Государственное образовательное учреждение высшего образования Московской области Московский государственный областной университет,"834,8",N/A,N/A,N/A
110169,"Муниципальное образовательное автономное учреждение высшего образования ""Воронежский институт экономики и социального управления""","113,4",N/A,N/A,N/A
1896,"Негосударственная автономная некоммерческая организация высшего образования ""Институт мировых цивилизаций""","316,5",N/A,N/A,N/A
1880,"Негосударственное образовательное учреждение высшего образования ""Международный институт экономики и права""","74,1",N/A,N/A,N/A
1960,"Негосударственное образовательное учреждение высшего образования ""Московский социально-педагогический институт""","3,8",N/A,N/A,N/A
2078,"Негосударственное образовательное учреждение высшего образования ""Российская экономическая школа"" (институт)","491,0",N/A,N/A,N/A
110295,Негосударственное образовательное учреждение высшего профессионального образования «Международная академия бизнеса и управления»,"258,7",N/A,N/A,N/A
110372,"Негосударственное образовательное учреждение организация высшего образования ""Российская академия адвокатуры и нотариата""",N/A,N/A,"142,4",N/A
1946,"Негосударственное образовательное частное учреждение высшего образования ""Московский институт психоанализа""","29,9",N/A,N/A,N/A
1973,"Негосударственное образовательное частное учреждение высшего образования ""Московский экономический институт""","434,3",N/A,N/A,N/A
666667376,"Негосударственное образовательное частное учреждение высшего образования «Международный институт информатики, управления, экономики и права в г. Москве»","133,7",N/A,N/A,N/A
1834,Негосударственное образовательное частное учреждение высшего образования Московский финансово-промышленный университет «Синергия»,"3 929,4",N/A,N/A,N/A
1881,"Негосударственное частное образовательное учреждение высшего образования ""Московский институт экономики, политики и права""","14,0",N/A,N/A,N/A
110187,"Некоммерческое образовательное частное учреждение высшего  образования ""Гуманитарный институт имени П.А. Столыпина""","10,3",N/A,N/A,N/A
120266,"Образовательная автономная некоммерческая организация высшего образования ""Институт образовательных технологий и гуманитарных наук""","47,6",N/A,N/A,N/A
110330,"Образовательная автономная некоммерческая организация высшего образования ""Московский психолого-социальный университет""","234,1",N/A,N/A,N/A
1967,Образовательная автономная некоммерческая организация высшего образования «Московская высшая школа социальных и экономических наук»,"282,0",N/A,N/A,N/A
110301,Образовательная автономная некоммерческая организация высшего образования«Международный славянский институт»,"2,4",N/A,N/A,N/A
1888,"Образовательная организация высшего образования (частное учреждение) ""Международная академия бизнеса и новых технологий (МУБиНТ)""","243,4",N/A,N/A,N/A
110148,"Образовательное учреждение профсоюзов высшего образования ""Академия труда и социальных отношений""","372,6",N/A,N/A,N/A
110183,"Образовательное частное учреждение высшего образования ""Гуманитарно-социальный институт""","158,0",N/A,N/A,N/A
2089,"Образовательное частное учреждение высшего образования ""Еврейский университет""","30,5",N/A,N/A,N/A
110227,"Образовательное частное учреждение высшего образования ""Институт международного права и экономики имени А.С. Грибоедова""","239,2",N/A,N/A,N/A
1963,"Образовательное частное учреждение высшего образования ""Международный юридический институт""",N/A,N/A,"395,0",N/A
2027,"Образовательное частное учреждение высшего образования ""Московская международная академия""","629,4",N/A,N/A,N/A
1861,"Образовательное частное учреждение высшего образования ""Российская международная академия туризма""","179,2",N/A,N/A,N/A
120119,Образовательное частное учреждение высшего образования «Московский инновационный университет»,"118,4",N/A,N/A,N/A
1593,"Ордена Трудового Красного Знамени Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский технический университет связи и информатики""","82,8",N/A,N/A,N/A
161,"федеральное государственное автономное образовательное учреждение высшего образования ""Московский физико-технический институт (национальный исследовательский университет)""","1,0",N/A,N/A,N/A
140,"Федеральное государственное автономное образовательное учреждение высшего образования ""Национальный исследовательский университет ""Московский институт электронной техники""","282,2",N/A,N/A,N/A
219,"федеральное государственное автономное образовательное учреждение высшего образования ""Российский государственный университет нефти и газа (национальный исследовательский университет) имени И.М. Губкина""","1 285,8",N/A,N/A,N/A
1595,"федеральное государственное автономное образовательное учреждение высшего образования ""Российский национальный исследовательский медицинский университет имени Н.И. Пирогова"" Министерства здравоохранения Российской Федерации",N/A,"62,0",N/A,N/A
17,федеральное государственное автономное образовательное учреждение высшего образования «Белгородский государственный национальный исследовательский университет»,"1 165,3",N/A,N/A,N/A
1758,Федеральное государственное автономное образовательное учреждение высшего образования «Московский государственный институт международных отношений (университет) Министерства иностранных дел Российской Федерации»,"3 337,0",N/A,N/A,N/A
120111,федеральное государственное автономное образовательное учреждение высшего образования «Московский политехнический университет»,"330,2",N/A,N/A,N/A
59,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский технологический университет «МИСиС»,"1 211,0",N/A,N/A,N/A
1766,федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет «Высшая школа экономики»,"11 346,0",N/A,N/A,N/A
165,федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский ядерный университет «МИФИ»,"670,0",N/A,N/A,N/A
222,федеральное государственное автономное образовательное учреждение высшего образования «Российский университет дружбы народов»,"2 709,5",N/A,N/A,N/A
1566,федеральное государственное автономное образовательное учреждение высшего образования «Российский университет транспорта»,"4 363,1",N/A,N/A,N/A
1792,федеральное государственное автономное образовательное учреждение высшего образования Первый Московский государственный медицинский университет имени И.М. Сеченова Министерства здравоохранения Российской Федерации (Сеченовский Университет),"13,7",N/A,N/A,N/A
16,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Белгородский государственный технологический университет им. В.Г. Шухова""","898,4",N/A,N/A,N/A
24,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Брянский государственный инженерно-технологический университет""","173,5",N/A,N/A,N/A
25,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Брянский государственный технический университет""","208,4",N/A,N/A,N/A
1650,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Воронежский государственный аграрный университет имени императора Петра I""","1 177,0",N/A,N/A,N/A
45,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Воронежский государственный университет""","2 216,8",N/A,N/A,N/A
1810,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Всероссийская академия внешней торговли министерства экономического развития Российской Федерации""","1 537,9",N/A,N/A,N/A
1639,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Государственный университет по землеустройству""","136,8",N/A,N/A,N/A
60,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Государственный университет управления""","4 992,2",N/A,N/A,N/A
76,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Ивановский государственный университет""","292,7",N/A,N/A,N/A
77,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Ивановский государственный химико-технологический университет""","57,5",N/A,N/A,N/A
93,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Калужский государственный университет им. К.Э. Циолковского""","403,8",N/A,N/A,N/A
104,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Костромской государственный университет""","624,3",N/A,N/A,N/A
1674,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Курская государственная сельскохозяйственная академия имени И.И. Иванова""","90,7",N/A,N/A,N/A
114,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Курский государственный университет""","405,7",N/A,N/A,N/A
