ID университета,Название университета,Экономика и управление,Социология и социальная работа,Юриспруденция,Политические науки и регионоведение
116,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Липецкий государственный педагогический университет имени П.П.Семенова-Тян-Шанского""","15,1",N/A,N/A,N/A
117,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Липецкий государственный технический университет""","254,8",N/A,N/A,N/A
1743,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московская государственная академия физической культуры""","78,5",N/A,N/A,N/A
131,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский авиационный институт (национальный исследовательский университет)""","974,5",N/A,N/A,N/A
132,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский автомобильно-дорожный государственный технический университет (МАДИ)""","1 556,4",N/A,N/A,N/A
141,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский государственный лингвистический университет""",N/A,"124,0",N/A,N/A
2151,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский государственный психолого-педагогический университет""","90,8",N/A,N/A,N/A
148,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский государственный технологический университет ""СТАНКИН""","250,0",N/A,N/A,N/A
160,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский педагогический государственный университет""","156,3",N/A,N/A,N/A
144,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Национальный исследовательский Московский государственный строительный университет""","995,3",N/A,N/A,N/A
189,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Орловский государственный университет экономики и торговли""","541,8",N/A,N/A,N/A
1783,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации""","11 488,9",N/A,N/A,N/A
1716,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Российская государственная академия интеллектуальной собственности""","151,2",N/A,N/A,N/A
1640,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Российский государственный аграрный университет - МСХА имени К.А.Тимирязева""","835,4",N/A,N/A,N/A
212,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Российский государственный гуманитарный университет""","563,8",N/A,N/A,N/A
151,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Российский государственный университет им. А.Н. Косыгина (Технологии. Дизайн. Искусство)""","681,7",N/A,N/A,N/A
1787,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Российский государственный университет физической культуры, спорта, молодежи и туризма (ГЦОЛИФК)""","275,1",N/A,N/A,N/A
223,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Российский химико-технологический университет имени Д.И. Менделеева""","76,6",N/A,N/A,N/A
229,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Рыбинский государственный авиационный технический университет имени П.А. Соловьева""","40,3",N/A,N/A,N/A
230,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Рязанский государственный радиотехнический университет имени В.Ф. Уткина""","663,6",N/A,N/A,N/A
231,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Рязанский государственный университет имени С.А. Есенина""","194,0",N/A,N/A,N/A
1749,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Смоленская государственная академия физической культуры, спорта и туризма""","8,1",N/A,N/A,N/A
284,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Тамбовский государственный университет имени Г.Р. Державина""","492,7",N/A,N/A,N/A
1710,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Тверская государственная сельскохозяйственная академия""","133,2",N/A,N/A,N/A
287,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Тверской государственный университет""","831,3",N/A,N/A,N/A
297,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Тульский государственный педагогический университет им. Л.Н. Толстого""","57,7",N/A,N/A,N/A
113,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Юго-Западный государственный университет""","1 007,8",N/A,N/A,N/A
340,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Ярославский государственный педагогический университет им. К.Д. Ушинского""","33,3",N/A,N/A,N/A
341,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Ярославский государственный технический университет""","234,5",N/A,N/A,N/A
342,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Ярославский государственный университет им. П.Г. Демидова""","751,5",N/A,N/A,N/A
1675,федеральное государственное бюджетное образовательное учреждение высшего образования «Белгородский государственный аграрный университет имени В.Я. Горина»,"231,8",N/A,N/A,N/A
1772,федеральное государственное бюджетное образовательное учреждение высшего образования «Брянский государственный аграрный университет»,"51,6",N/A,N/A,N/A
26,федеральное государственное бюджетное образовательное учреждение высшего образования «Брянский государственный университет имени академика И.Г. Петровского»,"606,5",N/A,N/A,N/A
30,федеральное государственное бюджетное образовательное учреждение высшего образования «Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых»,"1 040,8",N/A,N/A,N/A
40,Федеральное государственное бюджетное образовательное учреждение высшего образования «Воронежский государственный лесотехнический университет имени Г.Ф. Морозова»,"399,8",N/A,N/A,N/A
44,федеральное государственное бюджетное образовательное учреждение высшего образования «Воронежский государственный технический университет»,"718,1",N/A,N/A,N/A
41,федеральное государственное бюджетное образовательное учреждение высшего образования «Воронежский государственный университет инженерных технологий»,"578,4",N/A,N/A,N/A
1654,федеральное государственное бюджетное образовательное учреждение высшего образования «Всеросcийский государственный университет юстиции (РПА Минюста России)»,N/A,N/A,"1 226,9",N/A
51,федеральное государственное бюджетное образовательное учреждение высшего образования «Гжельский государственный университет»,"315,8",N/A,N/A,N/A
57,федеральное государственное бюджетное образовательное учреждение высшего образования «Государственный академический университет гуманитарных наук»,"302,2",N/A,N/A,N/A
1798,Федеральное государственное бюджетное образовательное учреждение высшего образования «Дипломатическая академия Министерства иностранных дел Российской Федерации»,"410,6",N/A,N/A,N/A
72,федеральное государственное бюджетное образовательное учреждение высшего образования «Елецкий государственный университет им. И.А. Бунина»,"149,0",N/A,N/A,N/A
2198,федеральное государственное бюджетное образовательное учреждение высшего образования «Ивановский государственный политехнический университет»,"172,7",N/A,N/A,N/A
78,федеральное государственное бюджетное образовательное учреждение высшего образования «Ивановский государственный энергетический университет имени В.И. Ленина»,"158,6",N/A,N/A,N/A
101,федеральное государственное бюджетное образовательное учреждение высшего образования «Ковровская государственная технологическая академия имени В.А. Дегтярева» ,"121,2",N/A,N/A,N/A
1631,Федеральное государственное бюджетное образовательное учреждение высшего образования «Костромская государственная сельскохозяйственная академия»,"220,5",N/A,N/A,N/A
1786,федеральное государственное бюджетное образовательное учреждение высшего образования «Курский государственный медицинский университет» Министерства здравоохранения Российской Федерации,"44,0",N/A,N/A,N/A
134,федеральное государственное бюджетное образовательное учреждение высшего образования «МИРЭА - Российский технологический университет»,"2 901,3",N/A,N/A,N/A
1736,федеральное государственное бюджетное образовательное учреждение высшего образования «Мичуринский государственный аграрный университет»,"273,6",N/A,N/A,N/A
1788,федеральное государственное бюджетное образовательное учреждение высшего образования «Московская государственная академия ветеринарной медицины и биотехнологии - МВА имени К.И. Скрябина»,"59,3",N/A,N/A,N/A
1694,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный институт культуры»,"29,0",N/A,N/A,N/A
1610,федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный медико-стоматологический университет имени А.И. Евдокимова» Министерства здравоохранения Российской Федерации,"130,8",N/A,N/A,N/A
147,федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный технический университет имени Н.Э.Баумана (национальный исследовательский университет)» ,"548,0",N/A,N/A,N/A
1725,Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет имени М.В.Ломоносова»,"5 228,0",N/A,N/A,N/A
155,федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет пищевых производств»,"189,2",N/A,N/A,N/A
158,федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный университет технологий и управления имени К.Г. Разумовского (Первый казачий университет)»,"377,8",N/A,N/A,N/A
130,федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный юридический университет имени О.Е. Кутафина (МГЮА)»,"1,7",N/A,N/A,N/A
