ID университета,Название университета,Экономика и управление,Социология и социальная работа,Юриспруденция,Политические науки и регионоведение
666667376,"Негосударственное образовательное частное учреждение высшего образования «Международный институт информатики, управления, экономики и права в г. Москве»","90,2",N/A,N/A,N/A
1834,Негосударственное образовательное частное учреждение высшего образования Московский финансово-промышленный университет «Синергия»,"3 575,6",N/A,N/A,N/A
1881,"Негосударственное частное образовательное учреждение высшего образования ""Московский институт экономики, политики и права""","12,2",N/A,N/A,N/A
110187,"Некоммерческое образовательное частное учреждение высшего  образования ""Гуманитарный институт имени П.А. Столыпина""","6,0",N/A,N/A,N/A
120266,"Образовательная автономная некоммерческая организация высшего образования ""Институт образовательных технологий и гуманитарных наук""","70,0",N/A,N/A,N/A
2033,"Образовательная автономная некоммерческая организация высшего образования ""Московский открытый институт""","97,3",N/A,N/A,N/A
110330,"Образовательная автономная некоммерческая организация высшего образования ""Московский психолого-социальный университет""","187,4",N/A,N/A,N/A
1967,Образовательная автономная некоммерческая организация высшего образования «Московская высшая школа социальных и экономических наук»,"179,0",N/A,N/A,N/A
110301,Образовательная автономная некоммерческая организация высшего образования«Международный славянский институт»,"2,2",N/A,N/A,N/A
1888,"Образовательная организация высшего образования (частное учреждение) ""Международная академия бизнеса и новых технологий (МУБиНТ)""","236,3",N/A,N/A,N/A
110148,"Образовательное учреждение профсоюзов высшего образования ""Академия труда и социальных отношений""","483,0",N/A,N/A,N/A
110183,"Образовательное частное учреждение высшего образования ""Гуманитарно-социальный институт""","146,4",N/A,N/A,N/A
2089,"Образовательное частное учреждение высшего образования ""Еврейский университет""","52,5",N/A,N/A,N/A
110227,"Образовательное частное учреждение высшего образования ""Институт международного права и экономики имени А.С. Грибоедова""","172,5",N/A,N/A,N/A
1963,"Образовательное частное учреждение высшего образования ""Международный юридический институт""",N/A,N/A,"452,5",N/A
2027,"Образовательное частное учреждение высшего образования ""Московская международная академия""","337,6",N/A,N/A,N/A
1861,"Образовательное частное учреждение высшего образования ""Российская международная академия туризма""","162,2",N/A,N/A,N/A
120119,Образовательное частное учреждение высшего образования «Московский инновационный университет»,"126,7",N/A,N/A,N/A
1593,"Ордена Трудового Красного Знамени Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский технический университет связи и информатики""","60,3",N/A,N/A,N/A
140,"Федеральное государственное автономное образовательное учреждение высшего образования ""Национальный исследовательский университет ""Московский институт электронной техники""","310,2",N/A,N/A,N/A
219,"федеральное государственное автономное образовательное учреждение высшего образования ""Российский государственный университет нефти и газа (национальный исследовательский университет) имени И.М. Губкина""","1 238,0",N/A,N/A,N/A
1595,"федеральное государственное автономное образовательное учреждение высшего образования ""Российский национальный исследовательский медицинский университет имени Н.И. Пирогова"" Министерства здравоохранения Российской Федерации",N/A,"58,0",N/A,N/A
17,федеральное государственное автономное образовательное учреждение высшего образования «Белгородский государственный национальный исследовательский университет»,"1 168,6",N/A,N/A,N/A
1758,Федеральное государственное автономное образовательное учреждение высшего образования «Московский государственный институт международных отношений (университет) Министерства иностранных дел Российской Федерации»,"3 237,8",N/A,N/A,N/A
120111,федеральное государственное автономное образовательное учреждение высшего образования «Московский политехнический университет»,"368,2",N/A,N/A,N/A
59,Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский технологический университет «МИСиС»,"1 045,5",N/A,N/A,N/A
1766,федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет «Высшая школа экономики»,"10 765,8",N/A,N/A,N/A
165,федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский ядерный университет «МИФИ»,"561,8",N/A,N/A,N/A
222,федеральное государственное автономное образовательное учреждение высшего образования «Российский университет дружбы народов»,"2 630,1",N/A,N/A,N/A
1566,федеральное государственное автономное образовательное учреждение высшего образования «Российский университет транспорта»,"4 617,9",N/A,N/A,N/A
1792,федеральное государственное автономное образовательное учреждение высшего образования Первый Московский государственный медицинский университет имени И.М. Сеченова Министерства здравоохранения Российской Федерации (Сеченовский Университет),"13,4",N/A,N/A,N/A
100345,"Федеральное государственное бюджетное научное учреждение ""Исследовательский центр частного права имени С.С. Алексеева при Президенте Российской Федерации""",N/A,N/A,"87,0",N/A
16,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Белгородский государственный технологический университет им. В.Г. Шухова""","1 093,6",N/A,N/A,N/A
24,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Брянский государственный инженерно-технологический университет""","206,1",N/A,N/A,N/A
25,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Брянский государственный технический университет""","237,1",N/A,N/A,N/A
1650,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Воронежский государственный аграрный университет имени императора Петра I""","1 166,1",N/A,N/A,N/A
45,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Воронежский государственный университет""","2 203,3",N/A,N/A,N/A
1810,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Всероссийская академия внешней торговли министерства экономического развития Российской Федерации""","1 461,2",N/A,N/A,N/A
1639,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Государственный университет по землеустройству""","162,8",N/A,N/A,N/A
60,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Государственный университет управления""","4 982,5",N/A,N/A,N/A
1677,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Ивановская государственная сельскохозяйственная академия имени Д.К.Беляева"" (ФГБОУ ВО Ивановская ГСХА)","0,8",N/A,N/A,N/A
76,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Ивановский государственный университет""","351,1",N/A,N/A,N/A
77,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Ивановский государственный химико-технологический университет""","14,0",N/A,N/A,N/A
93,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Калужский государственный университет им. К.Э. Циолковского""","455,5",N/A,N/A,N/A
104,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Костромской государственный университет""","652,4",N/A,N/A,N/A
1674,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Курская государственная сельскохозяйственная академия имени И.И. Иванова""","50,3",N/A,N/A,N/A
114,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Курский государственный университет""","464,8",N/A,N/A,N/A
116,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Липецкий государственный педагогический университет имени П.П.Семенова-Тян-Шанского""","19,0",N/A,N/A,N/A
117,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Липецкий государственный технический университет""","333,3",N/A,N/A,N/A
1743,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московская государственная академия физической культуры""","84,0",N/A,N/A,N/A
131,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский авиационный институт (национальный исследовательский университет)""","1 065,4",N/A,N/A,N/A
132,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский автомобильно-дорожный государственный технический университет (МАДИ)""","1 689,5",N/A,N/A,N/A
141,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский государственный лингвистический университет""",N/A,"127,0",N/A,N/A
2151,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский государственный психолого-педагогический университет""","83,0",N/A,N/A,N/A
148,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский государственный технологический университет ""СТАНКИН""","236,5",N/A,N/A,N/A
160,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Московский педагогический государственный университет""","374,4",N/A,N/A,N/A
144,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Национальный исследовательский Московский государственный строительный университет""","953,1",N/A,N/A,N/A
189,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Орловский государственный университет экономики и торговли""","760,7",N/A,N/A,N/A
1783,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации""","10 338,0",N/A,N/A,N/A
1716,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Российская государственная академия интеллектуальной собственности""","172,1",N/A,N/A,N/A
1640,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Российский государственный аграрный университет - МСХА имени К.А.Тимирязева""","941,4",N/A,N/A,N/A
212,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Российский государственный гуманитарный университет""","581,1",N/A,N/A,N/A
151,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Российский государственный университет им. А.Н. Косыгина (Технологии. Дизайн. Искусство)""","662,1",N/A,N/A,N/A
1787,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Российский государственный университет физической культуры, спорта, молодежи и туризма (ГЦОЛИФК)""","301,9",N/A,N/A,N/A
223,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Российский химико-технологический университет имени Д.И. Менделеева""","77,8",N/A,N/A,N/A
229,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Рыбинский государственный авиационный технический университет имени П.А. Соловьева""","77,5",N/A,N/A,N/A
230,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Рязанский государственный радиотехнический университет имени В.Ф. Уткина""","733,6",N/A,N/A,N/A
231,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Рязанский государственный университет имени С.А. Есенина""","165,7",N/A,N/A,N/A
1749,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Смоленская государственная академия физической культуры, спорта и туризма""","17,2",N/A,N/A,N/A
284,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Тамбовский государственный университет имени Г.Р. Державина""","531,1",N/A,N/A,N/A
1710,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Тверская государственная сельскохозяйственная академия""","176,1",N/A,N/A,N/A
287,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Тверской государственный университет""","880,9",N/A,N/A,N/A
297,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Тульский государственный педагогический университет им. Л.Н. Толстого""","76,6",N/A,N/A,N/A
113,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Юго-Западный государственный университет""","1 169,5",N/A,N/A,N/A
340,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Ярославский государственный педагогический университет им. К.Д. Ушинского""","25,5",N/A,N/A,N/A
341,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Ярославский государственный технический университет""","247,2",N/A,N/A,N/A
