ID университета,Название университета,Экономика и управление,Социология и социальная работа,Юриспруденция,Политические науки и регионоведение
10006916,"Тамбовский филиал Автономной некоммерческой организации высшего образования ""Российский новый университет""","72,7",N/A,N/A,N/A
10006753,"Тамбовский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Мичуринский государственный аграрный университет""","12,3",N/A,N/A,N/A
10001834,"Тамбовский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации"" ","115,3",N/A,N/A,N/A
12013075,Тверской институт (филиал) Автономной некоммерческой организации высшего образования Московского гуманитарно-экономического университета ,"120,4",N/A,N/A,N/A
10001836,"Тверской филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации""","300,4",N/A,N/A,N/A
10006817,Тульский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Всероссийский государственный университет юстиции (РПА Минюста России)»,N/A,N/A,"672,6",N/A
12012837,Тульский филиал Образовательного частного учреждения высшего образования «Международный юридический институт» (Тульский филиал),N/A,N/A,"133,2",N/A
10001839,"Тульский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации"" ","158,4",N/A,N/A,N/A
10000819,Тульский филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российский экономический университет имени Г.В. Плеханова»,"258,6",N/A,N/A,N/A
10006966,"Тульский филиал федерального государственного образовательного бюджетного учреждения высшего образования ""Финансовый университет при Правительстве Российской Федерации"" ","408,4",N/A,N/A,N/A
10000891,"Тутаевский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Рыбинский государственный авиационный технический университет имени П.А. Соловьева""","2,4",N/A,N/A,N/A
12012954,"Филиал ""Котельники"" государственного бюджетного образовательного учреждения высшего образования Московской области ""Университет ""Дубна"" (Филиал ""Котельники"" государственного университета ""Дубна"")","54,8",N/A,N/A,N/A
10000396,"филиал ""Стрела"" федерального государственного бюджетного образовательного учреждения высшего образования ""Московский авиационный институт (национальный исследовательский университет)"" в г. Жуковском Московской области","73,1",N/A,N/A,N/A
12012953,"Филиал ""Угреша"" государственного бюджетного образовательного учреждения высшего образования Московской области ""Университет ""Дубна""","3,5",N/A,N/A,N/A
12012932,"Филиал Автономной некоммерческой образовательной организации высшего образования ""Воронежский экономико-правовой институт"" в г. Россошь","11,0",N/A,N/A,N/A
12012933,"Филиал Автономной некоммерческой образовательной организации высшего образования ""Воронежский экономико-правовой институт"" в г. Старый Оскол","50,8",N/A,N/A,N/A
12012931,"Филиал Автономной некоммерческой образовательной организации высшего образования ""Воронежский экономико-правовой институт"" в г.Липецк","16,5",N/A,N/A,N/A
10110172,"Филиал Автономной некоммерческой образовательной организации высшего образования ""Воронежский экономико-правовой институт"" в г.Орёл","0,6",N/A,N/A,N/A
140143628,"Филиал Автономной некоммерческой организации Высшего Образования ""Институт деловой карьеры"" в Курской области","19,2",N/A,N/A,N/A
140143629,"Филиал Автономной некоммерческой организации Высшего Образования ""Институт деловой карьеры"" в Рязанской области","10,8",N/A,N/A,N/A
140143623,"Филиал Автономной некоммерческой организации Высшего Образования ""Институт деловой карьеры"" в Смоленской области",N/A,N/A,"49,2",N/A
12012952,"Филиал государственного бюджетного образовательного учреждения высшего образования Московской области ""Университет ""Дубна"" - Дмитровский институт непрерывного образования","112,3",N/A,N/A,N/A
12012942,"Филиал образовательного частного учреждения высшего образования ""Институт международного права и экономики имени А.С. Грибоедова"" в г. Липецке (Филиал ИМПЭ им. А.С. Грибоедова в г. Липецке)","7,4",N/A,N/A,N/A
10000733,"филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российский государственный гуманитарный университет"" в г. Домодедово Московской области","150,9",N/A,N/A,N/A
10000068,филиал федерального государственного бюджетного образовательного учреждения высшего образования «Брянский государственный университет имени академика И.Г. Петровского» в г. Новозыбкове.,"30,3",N/A,N/A,N/A
10000769,филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российский государственный социальный университет» в г. Клину Московской области,"47,1",N/A,N/A,N/A
10000780,филиал федерального государственного бюджетного образовательного учреждения высшего образования «Российский государственный социальный университет» в г. Павловском Посаде Московской области,"13,7",N/A,N/A,N/A
12012793,"Филиал Частного образовательного учреждение высшего образования ""Московский университет им.С.Ю.Витте"" в г. Сергиевом Посаде","44,0",N/A,N/A,N/A
12012790,"Филиал Частного образовательного учреждения высшего образования ""Московский университет им.С.Ю.Витте"" в г. Рязани","185,0",N/A,N/A,N/A
10006953,"Центральный филиал Федерального государственного бюджетного образовательного учреждения высшего образования ""Российский государственный университет правосудия"" (г. Воронеж)",N/A,N/A,"945,1",N/A
14014193,Электростальский институт (филиал) Московского политехнического университета,"7,2",N/A,N/A,N/A
12012808,"Ярославский филиал аккредитованного образовательного частного учреждения высшего профессионального образования ""Московский финансово - юридический университет МФЮА""","207,8",N/A,N/A,N/A
12013228,"Ярославский филиал государственного автономного образовательного учреждения высшего образования Ленинградской области ""Ленинградский государственный университет имени А.С. Пушкина""","25,5",N/A,N/A,N/A
12012922,Ярославский филиал Образовательного учреждения профсоюзов высшего образования «Академия труда и социальных отношений»,"25,9",N/A,N/A,N/A
10006969,"Ярославский филиал федерального государственного образовательного бюджетного учреждения высшего образования ""Финансовый университет при Правительстве Российской Федерации""","317,1",N/A,N/A,N/A
2064,"Автономная некоммерческая образовательная организации высшего образования ""Калининградский институт управления""","115,9",N/A,N/A,N/A
110536,"Автономная некоммерческая образовательная организация высшего образования ""Европейский университет в Санкт-Петербурге""","17,0",N/A,N/A,N/A
2002,"Автономная некоммерческая образовательная организация высшего образования ""Невский институт языка и культуры""",N/A,N/A,N/A,"28,0"
1824,"Автономная некоммерческая организация высшего образования ""Международный банковский институт имени Анатолия Собчака""","280,8",N/A,N/A,N/A
110344,"Автономная некоммерческая организация высшего образования ""Национальный открытый институт г.Санкт-Петербург""","158,4",N/A,N/A,N/A
1977,"Автономная некоммерческая организация высшего образования ""Санкт-Петербургская юридическая академия""",N/A,N/A,"416,1",N/A
1990,"Автономная некоммерческая организация высшего образования ""Университет при Межпарламентской Ассамблее ЕврАзЭС""","355,5",N/A,N/A,N/A
110180,"Автономное образовательное учреждение высшего образования Ленинградской области ""Государственный институт экономики, финансов, права и технологий""","681,9",N/A,N/A,N/A
110291,"Государственное автономное образовательное учреждение высшего образования Ленинградской области ""Ленинградский государственный университет имени А.С. Пушкина""","348,7",N/A,N/A,N/A
110281,"Государственное образовательное учреждение высшего образования ""Коми республиканская академия государственной службы и управления""","153,9",N/A,N/A,N/A
2065,"Негосударственное образовательное учреждение высшего профессионального образования ""Санкт-Петербургский Гуманитарный университет профсоюзов""","288,6",N/A,N/A,N/A
110381,"Санкт-Петербургское государственное автономное образовательное учреждение высшего образования ""Санкт-Петербургский государственный институт психологии и социальной работы""",N/A,"162,3",N/A,N/A
217,"федеральное государственное автономное образовательное учреждение высшего образования ""Балтийский федеральный университет имени Иммануила Канта""","516,8",N/A,N/A,N/A
234,федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет ИТМО»,"399,7",N/A,N/A,N/A
243,федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский государственный университет аэрокосмического приборостроения»,"1 212,1",N/A,N/A,N/A
240,федеральное государственное автономное образовательное учреждение высшего образования «Санкт-Петербургский политехнический университет Петра Великого»,"4 901,1",N/A,N/A,N/A
1544,Федеральное государственное автономное образовательное учреждение высшего образования «Северный (Арктический) федеральный университет имени М. В. Ломоносова».,"356,7",N/A,N/A,N/A
163,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Мурманский арктический государственный университет""","135,7",N/A,N/A,N/A
1755,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Национальный государственный Университет физической культуры, спорта и здоровья имени П.Ф.Лесгафта, Санкт-Петербург""","96,5",N/A,N/A,N/A
1530,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Псковский государственный университет""","663,5",N/A,N/A,N/A
237,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский горный университет""","357,0",N/A,N/A,N/A
236,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский государственный архитектурно-строительный университет""","1 161,0",N/A,N/A,N/A
232,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский государственный лесотехнический университет имени С.М. Кирова""","263,0",N/A,N/A,N/A
1564,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский государственный университет телекоммуникаций им. проф. М.А. Бонч-Бруевича""","426,4",N/A,N/A,N/A
1771,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Санкт-Петербургский государственный университет""","2 818,5",N/A,N/A,N/A
281,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Сыктывкарский государственный университет имени Питирима Сорокина""","191,1",N/A,N/A,N/A
13,Федеральное государственное бюджетное образовательное учреждение высшего образования «Балтийский государственный технический университет «ВОЕНМЕХ» им. Д.Ф. Устинова»,"515,5",N/A,N/A,N/A
1741,федеральное государственное бюджетное образовательное учреждение высшего образования «Великолукская государственная академия физической культуры и спорта»,"4,7",N/A,N/A,N/A
1660,федеральное государственное бюджетное образовательное учреждение высшего образования «Великолукская государственная сельскохозяйственная академия»,"193,2",N/A,N/A,N/A
1672,федеральное государственное бюджетное образовательное учреждение высшего образования «Вологодская государственная молочнохозяйственная академия имени Н.В.Верещагина»,"159,3",N/A,N/A,N/A
39,федеральное государственное бюджетное образовательное учреждение высшего образования «Вологодский государственный университет»,"315,6",N/A,N/A,N/A
1707,Федеральное государственное бюджетное образовательное учреждение высшего образования «Государственный университет морского и речного флота имени адмирала С.О. Макарова»,"613,1",N/A,N/A,N/A
1601,федеральное государственное бюджетное образовательное учреждение высшего образования «Калининградский государственный технический университет»,"747,3",N/A,N/A,N/A
173,федеральное государственное бюджетное образовательное учреждение высшего образования «Новгородский государственный университет имени Ярослава Мудрого»,"310,1",N/A,N/A,N/A
1580,федеральное государственное бюджетное образовательное учреждение высшего образования «Петербургский государственный университет путей сообщения Императора Александра I»,"1 420,4",N/A,N/A,N/A
199,Федеральное государственное бюджетное образовательное учреждение высшего образования «Петрозаводский государственный университет» ,"200,3",N/A,N/A,N/A
211,федеральное государственное бюджетное образовательное учреждение высшего образования «Российский государственный гидрометеорологический университет»,"560,0",N/A,N/A,N/A
213,Федеральное государственное бюджетное образовательное учреждение высшего образования «Российский государственный педагогический университет им. А. И. Герцена»,"326,2",N/A,N/A,N/A
1590,федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-Петербургский  государственный химико-фармацевтический университет» Министерства здравоохранения Российской Федерации,"54,0",N/A,N/A,N/A
1727,федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-Петербургский государственный аграрный университет»,"399,8",N/A,N/A,N/A
239,федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-Петербургский государственный морской технический университет»,"412,7",N/A,N/A,N/A
242,федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-Петербургский государственный технологический институт (технический университет)»,"1 302,6",N/A,N/A,N/A
1735,Федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-Петербургский государственный университет гражданской авиации»,"187,1",N/A,N/A,N/A
245,федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-Петербургский государственный университет промышленных технологий и дизайна»,"1 046,9",N/A,N/A,N/A
100256,федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-Петербургский государственный экономический университет»,"6 561,1",N/A,N/A,N/A
1579,федеральное государственное бюджетное образовательное учреждение высшего образования «Северный государственный медицинский университет» Министерства здравоохранения Российской Федерации,"25,3",N/A,N/A,N/A
320,федеральное государственное бюджетное образовательное учреждение высшего образования «Ухтинский государственный технический университет»,"89,7",N/A,N/A,N/A
325,федеральное государственное бюджетное образовательное учреждение высшего образования «Череповецкий государственный университет»,"351,7",N/A,N/A,N/A
1822,"Частное образовательное учреждение высшего образования ""Балтийская академия туризма и предпринимательства""","70,2",N/A,N/A,N/A
2043,"Частное образовательное учреждение Высшего образования ""Балтийский Гуманитарный Институт""","20,5",N/A,N/A,N/A
2082,"Частное образовательное учреждение высшего образования ""Институт управления""","16,1",N/A,N/A,N/A
110338,"Частное образовательное учреждение высшего образования ""Мурманская академия экономики и управления""","1,6",N/A,N/A,N/A
110382,"Частное образовательное учреждение высшего образования ""Санкт-Петербургский институт гостеприимства""","12,8",N/A,N/A,N/A
2063,"Частное образовательное учреждение высшего образования ""Санкт-Петербургский институт экономики и управления""","43,9",N/A,N/A,N/A
1959,"Частное образовательное учреждение высшего образования ""Санкт-Петербургский университет технологий управления и экономики""","1 146,6",N/A,N/A,N/A
112847,Частное образовательное учреждение высшего образования “Юридический институт”,N/A,N/A,"25,5",N/A
5618,Частное образовательное учреждение высшего образования «Санкт-Петербургский институт искусств и реставрации» ,"3,0",N/A,N/A,N/A
12013219,"Бокситогорский институт (филиал) государственного автономного образовательного учреждения высшего образования Ленинградской области ""Ленинградский государственный университет имени А.С. Пушкина""","176,1",N/A,N/A,N/A
10006728,"Вологодский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации""","167,8",N/A,N/A,N/A
10001284,Воркутинский филиал Ухтинского государственного технического университета,"5,3",N/A,N/A,N/A
10006730,"Выборгский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации"" ","207,9",N/A,N/A,N/A
10006736,"Западный филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации""","817,6",N/A,N/A,N/A
10000950,"Ивангородский гуманитарно-технический институт (филиал) федерального государственного автономного образовательного учреждения высшего образования "" Санкт-Петербургский государственный университет аэрокосмического приборостроения""","265,4",N/A,N/A,N/A
12012714,"Калининградский филиал автономной некоммерческой образовательной организации высшего образования Центросоюза Российской Федерации ""Российский университет кооперации"" ","323,7",N/A,N/A,N/A
12012800,"Калининградский филиал Аккредитованного образовательного частного учреждения высшего образования ""Московский финансово-юридический университет МФЮА""","420,9",N/A,N/A,N/A
10006673,"Калининградский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Санкт - Петербургский государственный аграрный университет""","21,8",N/A,N/A,N/A
10006739,"Карельский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российскай Федерации""","228,3",N/A,N/A,N/A
10006634,"Котласский филиал Федерального государственного бюджетного образовательного учреждения высшего образования ""Государственный университет морского и речного флота имени адмирала С.О. Макарова""","8,4",N/A,N/A,N/A
12013224,"Лужский институт (филиал) государственного автономного образовательного учреждения высшего образования Ленинградской области ""Ленинградский государственный университет имени А.С. Пушкина""","146,4",N/A,N/A,N/A
10006745,"Мурманский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и госудрственной службы при Президенте Российской Федерации""","24,2",N/A,N/A,N/A
10006746,"Новгородский филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации""","201,5",N/A,N/A,N/A
12007015,Псковский филиал РМАТ,"36,6",N/A,N/A,N/A
10006749,"Санкт-Петербургский имени В.Б.Бобкова филиал государственного казенного образовательного учреждения высшего образования ""Российская таможенная академия""","1 049,9",N/A,N/A,N/A
10006814,Санкт-Петербургский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Всероссийский государственный университет юстиции (РПА Минюста России)»,N/A,N/A,"944,4",N/A
10006624,"Санкт-Петербургский филиал федерального государственного автономного образовательного учреждения высшего образования ""Национальный исследовательский университет ""Высшая школа экономики""","2 948,0",N/A,N/A,N/A
10006973,"Санкт-Петербургский филиал федерального государственного образовательного бюджетного учреждения высшего образования ""Финансовый университет при Правительстве Российской Федерации""","221,1",N/A,N/A,N/A
10006813,Северный институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Всероссийский государственный университет юстиции (РПА Минюста России)» в г. Петрозаводске,N/A,N/A,"244,0",N/A
12013071,Северный филиал Автономной некоммерческой организации высшего образования Московского гуманитарно-экономического университета,"7,3",N/A,N/A,N/A
12013072,Северо-Западный институт (филиал) Автономной некоммерческой организации высшего образования Московского гуманитарно-экономического университета,"95,6",N/A,N/A,N/A
10000388,"Северо-Западный институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования ""Московский государственный юридический университет имени О.Е. Кутафина (МГЮА)""","0,7",N/A,N/A,N/A
10001828,"Северо-Западный институт управления - филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации"" ","3 442,8",N/A,N/A,N/A
10006951,"Северо-Западный филиал Федерального государственного бюджетного образовательного учреждения высшего образования ""Российский государственный университет правосудия"" (г. Санкт-Петербург)",N/A,N/A,"1 213,4",N/A
10000912,"Сыктывкарский лесной институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования ""Санкт-Петербургский государственный лесотехнический университет имени С. М. Кирова""","68,8",N/A,N/A,N/A
140143627,"Филиал Автономной некоммерческой организации Высшего Образования ""Институт деловой карьеры"" в Псковской области",N/A,N/A,"24,9",N/A
12012938,"Филиал образовательного частного учреждения высшего образования ""Институт международного права и экономики имени А.С. Грибоедова"" в г. Вологде (Филиал ИМПЭ им. А.С. Грибоедова в г. Вологде)","8,8",N/A,N/A,N/A
10001285,Филиал Ухтинского государственного технического университета в г.Усинске,"21,9",N/A,N/A,N/A
10003332,"Филиал федерального государственного автономного образовательного учреждения высшего образования ""Северный (Арктический) федеральный университет имени М.В. Ломоносова"" в г. Северодвинске Архангельской области","32,4",N/A,N/A,N/A
14014292,"филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Мурманский арктический государственный университет"" в г. Апатиты","44,5",N/A,N/A,N/A
10000687,"Филиал федерального государственного бюджетного образовательного учреждения высшего образования ""Псковский государственный университет"" в г.Великие Луки Псковской области","8,5",N/A,N/A,N/A
110144,"Автономная некоммерческая организация высшего образования ""Академия социального образования""","27,1",N/A,N/A,N/A
2060,"Автономная некоммерческая организация высшего образования ""Межрегиональный открытый социальный институт""","3,3",N/A,N/A,N/A
113568,"Автономная некоммерческая организация высшего образования ""Поволжский православный институт имени Святителя Алексия, митрополита Московского""","2,3",N/A,N/A,N/A
1853,"Автономная некоммерческая организация высшего образования Самарский университет государственного управления ""Международный институт рынка""","440,2",N/A,N/A,N/A
110154,"Государственное бюджетное образовательное учреждение высшего образования ""Альметьевский государственный нефтяной институт""","249,3",N/A,N/A,N/A
110160,"Государственное бюджетное образовательное учреждение высшего образования ""Башкирская академия государственной службы и управления при Главе Республики Башкортостан""","44,6",N/A,N/A,N/A
110347,"Государственное бюджетное образовательное учреждение высшего образования ""Нижегородский государственный инженерно-экономический университет""","433,3",N/A,N/A,N/A
110276,"Негосударственное образовательное учреждение высшего профессионального образования ""Казанский институт предпринимательства и права""","4,9",N/A,N/A,N/A
1903,Образовательная автономная некоммерческая организация высшего образования «Волжский университет имени В.Н. Татищева» (институт),"4,4",N/A,N/A,N/A
2005,Прикамский социальный институт,"5,7",N/A,N/A,N/A
1848,"Учреждение высшего образования ""Университет управления ""ТИСБИ""","597,5",N/A,N/A,N/A
1519,"Федеральное государственное автономное образовательное учреждение высшего образования ""Казанский (Приволжский) федеральный университет""","4 122,0",N/A,N/A,N/A
197,"Федеральное государственное автономное образовательное учреждение высшего образования ""Пермский национальный исследовательский политехнический университет""","642,8",N/A,N/A,N/A
254,"Федеральное государственное автономное образовательное учреждение высшего образования ""Самарский государственный экономический университет""","3 022,2",N/A,N/A,N/A
170,федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский Нижегородский государственный университет им. Н.И. Лобачевского»,"2 831,5",N/A,N/A,N/A
198,"федеральное государственное автономное образовательное учреждение высшего образования «Пермский государственный национальный исследовательский университет""","1 203,3",N/A,N/A,N/A
251,федеральное государственное автономное образовательное учреждение высшего образования «Самарский национальный исследовательский университет имени академика С.П. Королева»,"1 078,9",N/A,N/A,N/A
1701,"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Башкирский государственный аграрный университет""","222,4",N/A,N/A,N/A
1681,"федеральное государственное бюджетное образовательное учреждение высшего образования ""Вятский государственный агротехнологический университет"" (ФГБОУ ВО Вятский ГАТУ)","134,5",N/A,N/A,N/A
